CLASS,SPECIES_FINAL,STRAIN,SOURCE_FINAL,AUTHOR_FINAL,NONSYNOM_REM,NONSYNOM_ALT,NONSYNOM_REC,SPECIES_TOGASHI,AUTHOR_TOGASHI,SOURCE_VERIFICATION,AUTHOR_VERIFICATION,SPECIES_TOGASHI_ALT,SPECIES_TOGASHI_NON,TITLE_INFO,TITLE_MATCH,SPECIES_CHANGED,AMBIGUOUS,SPORE,PROCESS,CARDINAL,TEMPERATURE,DETAILS,UNCERTAINTY,TEMPERATURE_REFERENCE,DISEASE,HOST_PLANT
fungi,neocosmospora solani,2,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,min,5,,,"Leonian, 1919",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,min,12,note:  <12-13. Lower estimated taken as Tmin.,<,"Reddick, 1917",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,min,5,,,"Togashi, 1931",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,opt,27,note:  20-34,,"Jones, F. R., 1923",,
fungi,neocosmospora solani,as mart. minus,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,opt,34,note:  about,,"Leonian, 1919",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,opt,31,note:  30.5-31.5,,"Reddick, 1917",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,growth in culture,opt,25.5,note:  18-33,,"Togashi, 1931",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,sporulation,max,36.5,note:  36-37,,"Jones, F. R., 1923",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,sporulation,max,35,,,"Togashi, 1931",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,sporulation,min,5.5,note:  5-6,,"Jones, F. R., 1923",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,sporulation,min,10,,,"Togashi, 1931",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),Y,,,fusarium solani var. martii; fusarium martii; fusarium martii var. minus; fusarium martii var. viride,(Appr. et Wr.) Wr.; Wr. et RG.; Sherb; Sherb.,SF; SF; SF; SF,(Appel & Wollenw.) Wollenw. (1930); Appel & Wollenw. (1910); Sherb. (1915); Sherb. (1915),,"fusarium martii var. phaseoli (Buskh), fusarium martii var. pisi (Jones)",,,,Y,,sporulation,opt,19,note:  13-25,,"Togashi, 1931",,
fungi,neocosmospora solani,1 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,opt,34,note:  about,,"Leonian, 1929",,
fungi,neocosmospora solani,,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. minus,Wr.,SF,Wollenw. (1935),,,,,,,,growth in culture,opt,21,note:  20-22,,"Pisiashnuk, 1932",,
fungi,neocosmospora solani,2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,1 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 1,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,min,5,,,"Leonian, 1929",,
fungi,neocosmospora solani,2,SF,(Mart.) L. Lombard & Crous (2015),,,,fusarium solani var. striatum; fusarium striatum,(Sherb.) Wr.; Sherb,SF; SF,(Sherb.) Wollenw. (1931); Sherb. (1915),,,,,,,,growth in culture,opt,34,note:  about,,"Leonian, 1929",,
fungi,neocosmospora solani,,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,disease development,min,11.55,"note:  at end of 30 days no decay had taken place at 9.1 (average) but at 14, 18.4, 28.6, and 35.3 (all in averages) the blocks were completely softened. Assume midpoint of 9.1-14 as Tmin, however could be < or > 11.55",,"Harter, 1916b",,
fungi,neocosmospora solani,sol. Suffuscum,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  <37.5,<,"Leonian, 1929",,
fungi,neocosmospora solani,1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 3,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,4 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,4 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,viride 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  >37.5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,note:  about,,"Leonian, 1929",,
fungi,neocosmospora solani,viride 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,37.5,,,"Leonian, 1929",,
fungi,neocosmospora solani,,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,32,note:  >32,>,"Tu, 1929",,
fungi,neocosmospora solani,,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,max,32,note:  >32,>,"Tu, 1931",,
fungi,neocosmospora solani,2 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  <5,<,"Leonian, 1929",,
fungi,neocosmospora solani,1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,3 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,viride 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,viride 2,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,sol. Suffuscum,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  >5,>,"Leonian, 1929",,
fungi,neocosmospora solani,2 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,,,"Leonian, 1929",,
fungi,neocosmospora solani,3 1,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,,,"Leonian, 1929",,
fungi,neocosmospora solani,3 3,SF; MB - LEG,"(Mart.) L. Lombard & Crous (2015); (Mart.) L. Lombard & Crous, Studies in Mycology 80: 228 (2015) [MB#810964]",Y,,,fusarium solani; fusarium solani var. subfuscum; fusarium viride,(Mart.) App. et Wr.; Sherb; (Lehm.) Wr.,SF; SF; MB - LEG,"(Mart.) Sacc. (1881); Sherb. (1915); (Lechmere) Wollenw., Fusaria Autographice Delineata 1: 418 (1916) [MB#101810]",fusarium solani var. suffuscum,fusarium alluviale (Wr. Et Reink); fusarium commutatum (Sacc.); fusarium mali (Taub.),,,,Y,,growth in culture,min,5,note:  about,,"Leonian, 1929",,
